Sensor_ID,Timestamp,Voltage (V),Current (A),Temperature (°C),Power (W),Humidity (%),Vibration (m/s²),Equipment_ID,Operational Status,Fault Status,Failure Type,Last Maintenance Date,Maintenance Type,Failure History,Repair Time (hrs),Maintenance Costs (USD),Ambient Temperature (°C),Ambient Humidity (%),External Factors,X,Y,Z,Equipment Relationship,Equipment Criticality,Fault Detected,Predictive Maintenance Trigger
S_45,1/2/2024 20:00,114,0.9,24,102.6,44,0.4,E_45,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,44,44,14,Dependent,High,0,1
S_46,1/2/2024 21:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,45,45,15,Independent,Medium,1,0
S_47,1/2/2024 22:00,116,0.6,26,69.6,46,0.25,E_47,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,46,46,16,Dependent,High,0,0
S_48,1/2/2024 23:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,47,47,17,Dependent,Medium,0,0
S_49,1/3/2024 0:00,118,0.8,28,94.4,48,0.35,E_49,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,48,48,18,Independent,High,1,1
S_50,1/3/2024 1:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,49,49,19,Dependent,Medium,0,0
S_51,1/3/2024 2:00,110,0.5,20,55,40,0.2,E_1,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,50,0,20,Dependent,High,0,0
S_52,1/3/2024 3:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,51,1,21,Independent,Medium,1,0
S_53,1/3/2024 4:00,112,0.7,22,78.4,42,0.3,E_3,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,52,2,22,Dependent,High,0,1
S_54,1/3/2024 5:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,53,3,23,Dependent,Medium,0,0
S_55,1/3/2024 6:00,114,0.9,24,102.6,44,0.4,E_5,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,54,4,24,Independent,High,1,0
S_56,1/3/2024 7:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,55,5,25,Dependent,Medium,0,0
S_57,1/3/2024 8:00,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,56,6,26,Dependent,High,0,1
S_58,1/3/2024 9:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,57,7,27,Independent,Medium,1,0
S_59,1/3/2024 10:00,118,0.8,28,94.4,48,0.35,E_9,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,58,8,28,Dependent,High,0,0
S_60,1/3/2024 11:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,59,9,29,Dependent,Medium,0,0
S_61,1/3/2024 12:00,110,0.5,20,55,40,0.2,E_11,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,60,10,0,Independent,High,1,1
S_62,1/3/2024 13:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,61,11,1,Dependent,Medium,0,0
S_63,1/3/2024 14:00,112,0.7,22,78.4,42,0.3,E_13,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,62,12,2,Dependent,High,0,0
S_64,1/3/2024 15:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,63,13,3,Independent,Medium,1,0
S_65,1/3/2024 16:00,114,0.9,24,102.6,44,0.4,E_15,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,64,14,4,Dependent,High,0,1
S_66,1/3/2024 17:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,65,15,5,Dependent,Medium,0,0
S_67,1/3/2024 18:00,116,0.6,26,69.6,46,0.25,E_17,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,66,16,6,Independent,High,1,0
S_68,1/3/2024 19:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,67,17,7,Dependent,Medium,0,0
S_69,1/3/2024 20:00,118,0.8,28,94.4,48,0.35,E_19,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,68,18,8,Dependent,High,0,1
S_70,1/3/2024 21:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,69,19,9,Independent,Medium,1,0
S_71,1/3/2024 22:00,110,0.5,20,55,40,0.2,E_21,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,70,20,10,Dependent,High,0,0
S_72,1/3/2024 23:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,71,21,11,Dependent,Medium,0,0
S_73,1/4/2024 0:00,112,0.7,22,78.4,42,0.3,E_23,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,72,22,12,Independent,High,1,1
S_74,1/4/2024 1:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,73,23,13,Dependent,Medium,0,0
S_75,1/4/2024 2:00,114,0.9,24,102.6,44,0.4,E_25,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,74,24,14,Dependent,High,0,0
S_76,1/4/2024 3:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,75,25,15,Independent,Medium,1,0
S_77,1/4/2024 4:00,116,0.6,26,69.6,46,0.25,E_27,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,76,26,16,Dependent,High,0,1
S_78,1/4/2024 5:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,77,27,17,Dependent,Medium,0,0
S_79,1/4/2024 6:00,118,0.8,28,94.4,48,0.35,E_29,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,78,28,18,Independent,High,1,0
S_80,1/4/2024 7:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,79,29,19,Dependent,Medium,0,0
S_81,1/4/2024 8:00,110,0.5,20,55,40,0.2,E_31,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,80,30,20,Dependent,High,0,1
S_82,1/4/2024 9:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,81,31,21,Independent,Medium,1,0
S_83,1/4/2024 10:00,112,0.7,22,78.4,42,0.3,E_33,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,82,32,22,Dependent,High,0,0
S_84,1/4/2024 11:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,83,33,23,Dependent,Medium,0,0
S_85,1/4/2024 12:00,114,0.9,24,102.6,44,0.4,E_35,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,84,34,24,Independent,High,1,1
S_86,1/4/2024 13:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,85,35,25,Dependent,Medium,0,0
S_87,1/4/2024 14:00,116,0.6,26,69.6,46,0.25,E_37,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,86,36,26,Dependent,High,0,0
S_88,1/4/2024 15:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,87,37,27,Independent,Medium,1,0
S_89,1/4/2024 16:00,118,0.8,28,94.4,48,0.35,E_39,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,88,38,28,Dependent,High,0,1
S_90,1/4/2024 17:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,89,39,29,Dependent,Medium,0,0
S_91,1/4/2024 18:00,110,0.5,20,55,40,0.2,E_41,Operational,Fault Detected,Overheating,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,90,40,0,Independent,High,1,0
S_92,1/4/2024 19:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,91,41,1,Dependent,Medium,0,0
S_93,1/4/2024 20:00,112,0.7,22,78.4,42,0.3,E_43,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,92,42,2,Dependent,High,0,1
S_94,1/4/2024 21:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,93,43,3,Independent,Medium,1,0
S_95,1/4/2024 22:00,114,0.9,24,102.6,44,0.4,E_45,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,94,44,4,Dependent,High,0,0
S_96,1/4/2024 23:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,95,45,5,Dependent,Medium,0,0
S_97,1/5/2024 0:00,116,0.6,26,69.6,46,0.25,E_47,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,96,46,6,Independent,High,1,1
S_98,1/5/2024 1:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,97,47,7,Dependent,Medium,0,0
S_99,1/5/2024 2:00,118,0.8,28,94.4,48,0.35,E_49,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,98,48,8,Dependent,High,0,0
S_100,1/5/2024 3:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,99,49,9,Independent,Medium,1,0
S_101,1/5/2024 4:00,110,0.5,20,55,40,0.2,E_1,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,0,0,10,Dependent,High,0,1
S_102,1/5/2024 5:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,1,1,11,Dependent,Medium,0,0
S_103,1/5/2024 6:00,112,0.7,22,78.4,42,0.3,E_3,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,2,2,12,Independent,High,1,0
S_104,1/5/2024 7:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,3,3,13,Dependent,Medium,0,0
S_105,1/5/2024 8:00,114,0.9,24,102.6,44,0.4,E_5,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,4,4,14,Dependent,High,0,1
S_106,1/5/2024 9:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,5,5,15,Independent,Medium,1,0
S_107,1/5/2024 10:00,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,6,6,16,Dependent,High,0,0
S_108,1/5/2024 11:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,7,7,17,Dependent,Medium,0,0
S_109,1/5/2024 12:00,118,0.8,28,94.4,48,0.35,E_9,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,8,8,18,Independent,High,1,1
S_110,1/5/2024 13:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,9,9,19,Dependent,Medium,0,0
S_111,1/5/2024 14:00,110,0.5,20,55,40,0.2,E_11,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,10,10,20,Dependent,High,0,0
S_112,1/5/2024 15:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,11,11,21,Independent,Medium,1,0
S_113,1/5/2024 16:00,112,0.7,22,78.4,42,0.3,E_13,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,12,12,22,Dependent,High,0,1
S_114,1/5/2024 17:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,13,13,23,Dependent,Medium,0,0
S_115,1/5/2024 18:00,114,0.9,24,102.6,44,0.4,E_15,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,14,14,24,Independent,High,1,0
S_116,1/5/2024 19:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,15,15,25,Dependent,Medium,0,0
S_117,1/5/2024 20:00,116,0.6,26,69.6,46,0.25,E_17,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,16,16,26,Dependent,High,0,1
S_118,1/5/2024 21:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,17,17,27,Independent,Medium,1,0
S_119,1/5/2024 22:00,118,0.8,28,94.4,48,0.35,E_19,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,18,18,28,Dependent,High,0,0
S_120,1/5/2024 23:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,19,19,29,Dependent,Medium,0,0
S_121,1/6/2024 0:00,110,0.5,20,55,40,0.2,E_21,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,20,20,0,Independent,High,1,1
S_122,1/6/2024 1:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,21,21,1,Dependent,Medium,0,0
S_123,1/6/2024 2:00,112,0.7,22,78.4,42,0.3,E_23,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,22,22,2,Dependent,High,0,0
S_124,1/6/2024 3:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,23,23,3,Independent,Medium,1,0
S_125,1/6/2024 4:00,114,0.9,24,102.6,44,0.4,E_25,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,24,24,4,Dependent,High,0,1
S_126,1/6/2024 5:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,25,25,5,Dependent,Medium,0,0
S_127,1/6/2024 6:00,116,0.6,26,69.6,46,0.25,E_27,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,26,26,6,Independent,High,1,0
S_128,1/6/2024 7:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,27,27,7,Dependent,Medium,0,0
S_129,1/6/2024 8:00,118,0.8,28,94.4,48,0.35,E_29,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,28,28,8,Dependent,High,0,1
S_130,1/6/2024 9:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,29,29,9,Independent,Medium,1,0
S_131,1/6/2024 10:00,110,0.5,20,55,40,0.2,E_31,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,30,30,10,Dependent,High,0,0
S_132,1/6/2024 11:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,31,31,11,Dependent,Medium,0,0
S_133,1/6/2024 12:00,112,0.7,22,78.4,42,0.3,E_33,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,32,32,12,Independent,High,1,1
S_134,1/6/2024 13:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,33,33,13,Dependent,Medium,0,0
S_135,1/6/2024 14:00,114,0.9,24,102.6,44,0.4,E_35,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,34,34,14,Dependent,High,0,0
S_136,1/6/2024 15:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,35,35,15,Independent,Medium,1,0
